question,answer,category,source
Can I opt to have my virtual machine exit this maintenance?,,Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-3
What measures should I take to reduce the impact and risk caused by this maintenance on running applications?,,Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-4
Why can’t I access the VIP IP address and port of Azure VM from the local Ping?,"When accessing a virtual machine via a VIP address, network communication needs to be through Azure Load Balancer. Azure Load Balancer currently does not open the ICMP protocol. Ping belongs to the ICMP protocol group and cannot access the Load Balancer. When customers need to verify the connectivity of virtual machines via VIP, they can operate with tools related to the TCP Protocol, referring to <a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-network/aog-virtual-network-tcp-psping-paping-connectivity"">Using the PsPing &amp; PaPing for TCP port connectivity testing</a>.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-5
Can I create a virtual machine in Azure Virtual Machines?,"No, you cannot create it at present. The Dv3 and Ev3 series of the Azure Virtual Machines support nested virtualization, but as of now, Azure in China temporarily does not support creating virtual machines of this series.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-6
Can I create a Windows Server 2003 virtual machine in Azure?,"The officially supported Windows Server virtual machine template is:

Customers can use local Hyper-V to create a virtual machine template for Server 2003 to Azure cloud, but there’s no way to get Microsoft’s official support if there’s a problem with the virtual machine.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-7
" Is it supported to deploy Microsoft Exchange,Skype and Sharepoint in Azure? ","The SharePoint virtual machine templates can be selected from Azure Virtual Machines templates and can be officially supported by Microsoft. Exchange Server and Lync Server can be customized and uploaded, but not officially supported.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-8
What is the load balancing mechanism?,"Azure Load Balancer is based on the fourth level (TCP, UDP), enabling distribution of incoming traffic to the well-operated service instances defined in a load-balancing set, so as to improve the availability and network performance of applications.

Azure Load Balancer can be configured:

For more details about Azure Load Balancer, please refer to <a href=""//docs.azure.cn/zh-cn/load-balancer/load-balancer-overview"">Overview of the Azure Load Balancer</a>.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-9
How do I perform data backup?,"The Azure backup provides two types of copies: Locally Redundant Storage (LRS) and Geo-Redundant Storage (GRS). Locally Redundant Storage copies the data in the matching data center of the same region three times (creating three data copies). Geo-Redundant Storage copies the data to the secondary region several kilometers from the primary location of the source data. In order to prevent temporary storage unavailability arising from a disaster in one region, we recommend that customers copy data by way of reading and accessing Read-access Redundant Storage (RA-GRS). This way, in case of unavailability of the storage account of the primary region, the data can be accessed from the secondary region.

The following table describes the backup of all kinds of data services in the Azure, disaster recovery capabilities and backup methods:",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-10
" Can I choose the regions (China East, China North) of its VIP addresses when creating related services (Cloud Computing)?","The VIP address is determined in accordance with the selected region (China North, China East) of the customer when creating related services and is randomly distributed from the IP address pool managed by Microsoft. For instance, if the customers choose China North, they will be preferentially distributed within the IP address in Northern China.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-11
What should I pay attention to when running a business application with a virtual machine?,"Azure will regularly update the environment of the host to ensure that all the operating applications and virtual machines in the platform are always in a secure environment. This updating process may restart your virtual machines. Restarting of the virtual machine will cause the operating applications in the virtual machine to go offline.

The data may be lost when the virtual machine is migrated. Some reasons for virtual machine migration are as follows:

In order to guarantee high availability of the applications/services hosted in the Azure Virtual Machine, we recommend:

1. Using multiple virtual machines during concentration of availability set.

2. Making all components (front-end interface/application logic/data storage and so on) of applications be of a high-availability structure, and make each component be deployed in multiple Virtual Machines with availability, where each Virtual Machine involved in the applications deployment going offline shall not cause the entire system to go offline.

3. After the business-critical applications are deployed to the Azure Virtual Machines, the application is thoroughly tested for the potential impact of virtual machine restarts. 

For more information, please refer to the following link:

<a href=""//docs.azure.cn/virtual-machines/windows/manage-availability"">Manage Availability of the Windows virtual machine in the Azure</a>

<a href=""//blogs.msdn.microsoft.com/azchina/2014/04/18/azure-vm/"">Why was the Azure VM restarted?</a>

<a href=""/support/faq/"">Service Level Agreement</a>",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-12
Is there anything to note about using virtual machines to store application data?,"Azure Virtual Machine disk contains a temporary disk, the D: disk (Windows) or /dev/sdb1 (Linux). They only provide temporary storage, so there is a risk of data loss, and the data cannot be completely recovered under some conditions. It is recommended that the disk not be used to store data long term. The user must bear the risk of data resulting from this. Loss of temporary disk data usually occurs when virtual machines are migrated to different host machines. The reasons for virtual machine migration include: adjustment of virtual machine size, updating the host machine, or a failure in host machine hardware. The time of virtual machine migrating cannot be predicted, and it may occur when the user does not conduct any operation. Therefore, we recommend that the disk not be used to store data long term. For more information on virtual machine disks and the high availability of virtual machines, refer to the following links:

<a href=""//docs.azure.cn/virtual-machines/windows/about-disks-and-vhds"">About disk storage of the Azure Windows VM</a>

<a href=""//docs.azure.cn/virtual-machines/windows/manage-availability"">Manage Availability of the Windows virtual machine in the Azure</a>

<a href=""//blogs.msdn.microsoft.com/azchina/2014/04/18/azure-vm/"">Why was the Azure VM restarted?</a>

<a href=""/support/faq/"">Service Level Agreement</a>",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-13
How do I add the virtual machine to the virtual network? What is the difference between the virtual machine network adding the virtual machine and the network not building the virtual machine? And how do I put an existing virtual machine into a new virtual network? ,"First, create a virtual network, then select the previously-created virtual network when creating the virtual machine, and add the virtual machine to the virtual network. For specific steps, please refer to <a href=""//docs.azure.cn/virtual-network/virtual-network-get-started-vnet-subnet"">How to Add the Virtual Machines to the Virtual Network</a>.

After the virtual machine is put into the Virtual Network, it’s ensured that the virtual machines can communicate with each other via internal networks, and the Premium functions, for instance P2S S2S VPN, can be configured.

If a virtual machine is not added to the virtual network during construction, it cannot be added to a virtual network later. Currently, this kind of virtual machine only can be deleted (saving the disk for storing data), and a new virtual machine will be established by using the saved data disk, and choose to join an existing virtual network when creating this virtual machine.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-14
 What are the supported versions of customized Windows OS and Linux OS?,"For details, please refer to: <a id=""FAQ-31"" href=""//docs.azure.cn/virtual-machines/windows/create-vm-specialized/"">Create the Windows VM from a Dedicated Disk</a> and <a id=""FAQ-32"" href=""//docs.azure.cn/virtual-machines/linux/endorsed-distros/"">Linux Release Versions Accepted by Azure</a>.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-15
 List of validated local network VPN devices that are compatible with Azure Site to Site VPN,"Please refer to <a id=""FAQ-33"" href=""//docs.azure.cn/vpn-gateway/vpn-gateway-about-vpn-devices/"">Site to Site VPN</a> for details.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-16
How to configure websites deployed in Azure virtual machine to be accessible from public networks?,"By default, Azure virtual machines only open limited ports corresponding to its VIP, used for remote connection or management. If a newly built website needs to be accessed via a certain port of a VIP, it is required to add an Endpoint to this virtual machine. This operation can be completed through Azure portal or Powershell.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-17
 What is the availability set? And how do I apply the availability set to increase the availability of applications? ,"The availability set is a kind of logical grouping function. Applying it in Azure can ensure that the VM resources can be mutually isolated after they are deployed in Azure Data Center. 

Azure can ensure that the VM deployed in the availability set can operate across multiple physical servers, computer racks, storage units and network switches. In case of failure of the hardware or Azure software, the VM and application will be updated, thus only part of the VM will be affected and the whole application can maintain operations for the customer.

For more details, please refer to <a href=""//docs.azure.cn/zh-cn/articles/training/azure-iaas-user-manual-part1"">Azure IaaS Manual</a> and <a href=""//docs.azure.cn/zh-cn/virtual-machines/windows/tutorial-availability-sets"">How to use the Availability Set</a>.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-18
How about the security of the Azure Storage service?,"The Azure Storage service will allocate two access keys to the user: the primary and secondary access keys. This access key is a character string with 256 bytes, and the user can use it to verify every data access request for Azure Storage services.

Two access keys have the same function of being able to access data. The setting of two access keys is to help the user switch access keys. For instance, usually, the user will use the primary access key, and if the primary access key is revealed, the user can make the primary access key invalid in the shortest time (a new primary access key will be generated) and then switch over to the secondary access key. Meanwhile, the user does not have to alter the code, and just needs to alter the service configuration file, and there is also no downtime for simultaneously updating the service configuration file. Moreover, another effective way is that the application code can use the primary access key to access data, and if verification fails, the code will automatically use the secondary access key. In this way, there will be no downtime when the user changers switches access keys.

In order to further increase flexibility of Access Control for Blob data, another data Access Control method is provided by the Azure Data Storage service, called Shared Access Signature. Management personnel can apply the Shared Access Signature to generate a temporary data access request for other users, and the temporary data access request covers effective digital signatures, and can thus pass the data verification. It also includes information about which information users can access and the operation limits and so on. At the same time, it will be effective only during the appointed time. In this way, the administrator can not only allow other users to access data, but also do so without leaking the access key.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-19
 What is the difference between the Azure SQL Database and the traditional SQL Server Database? ,"Sometimes, the SQL Server and Azure SQL Database handle the same application working load. While one is a traditional database server applying the software licensing model, the other one is the service-mode cloud database, which is running in the data center of <span>21Vianet</span>, and is available as a pay-as-you-go model or a commitment rate model. You can easily choose the platform and business model most suitable to your technological requirements through these two products.

For more details, please refer to the <a id=""FAQ-35"" href=""https://www.azure.cn/blog/2010/05/24/sql-azure-vs-sql-server"">SQL Azure</a> web page.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-20
How is Azure’s data redundancy guaranteed?,"We provide geo-redundancy. One dedicated line will be used to connect the two data centers in Beijing and Shanghai, China, and is dedicated to data synchronization between data centers. In terms of the data storage, Azure provides four redundant levels for storage:

For details on Azure Redundant Storage, please refer to <a href=""//docs.azure.cn/storage/common/storage-introduction"">Introduction to Azure Storage</a> and <a href=""/pricing/details/storage/"">Pricing Details</a>.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-21
Are all data stored in Azure encrypted? ,"Regarding data encryption, Azure provides all kinds of encryption functions including AES-256, Allowing customers to choose the best solutions for their requirements.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-22
What certifications concerning cloud and data security has the Azure obtained in China? ,"Azure has obtained the following certifications concerning cloud and data security in China:

The 21Vianet promise to perform the authentication in accordance with the ISO/IEC 27001:2005 (this is a wide range of international information security standards). And the ISO/IEC 27001:2005C Certificate has confirmed that 21Vianet has carried out information security control measures, which is defined in the Standard and recognized internationally, including guidelines and general principles for starting, implementing, maintaining, and improving information security management of organizations.

ISO scope: the Information Security Management System (ISMS), covering operations, security and management of commercial procedures.

The certificate is openly issued by the <a id=""FAQ-26"" href=""http://www.cc.cesi.cn/"">CESI Certification Co., Ltd. (CESI)</a>.

21Vianet has adopted Azure’s leading technology, and with its strong localization operation capabilities, open platform, and high-quality SLA (Service Level Agreement), strong data recovery ability and the best customer benefits, the company was successfully certified in the first batch of trusted Cloud Services for Virtual Machines and Storage services.

The Trust Cloud certification is the quality assessment system of the Cloud Services directed by the Ministry of Industry and Information Technology of the People’s Republic of China and organized and implemented by the Cloud Computing Development and Policy Forum - the “Trust Cloud Group”. Certification aims to cultivate the domestic public cloud service market, enhance user confidence in Cloud Services, protect the formal cloud service providers, and promote the sound development of the market.

Scope: the following functions are in the current auditing scope: Virtual Machines and Cloud Storage, accepting the assessment of 16 indicators in three large categories: data management, business quality, and rights guarantees in the SLA framework. Among which, in terms of the stability of operation, Microsoft Azure virtual cloud hosting and cloud storage services provided by 21Vianet has achieved a 99.9% SLA guarantee.",Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-23
